
optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
249	3.23	0.1971 7.9 0.0000 0.2000 0.7000	0.1971 7.9 0.0000 0.2000 0.7000
299	3.61	0.1971 7.9 0.0000 0.2000 0.7000	0.1971 7.9 0.0000 0.2000 0.7000
349	4.01	0.1939 7.9 0.0000 0.2000 0.7000	0.1939 7.9 0.0000 0.2000 0.7000
399	4.45	0.1989 7.8 0.0000 0.2000 0.7000	0.1989 7.8 0.0000 0.2000 0.7000
449	4.88	0.2039 7.8 0.0000 0.3000 0.7000	0.2039 7.8 0.0000 0.3000 0.7000
499	5.31	0.2015 7.9 0.0000 0.3000 0.7000	0.2015 7.9 0.0000 0.3000 0.7000
549	5.75	0.1982 8.0 0.0000 0.3000 0.7000	0.1982 8.0 0.0000 0.3000 0.7000
599	6.19	0.2015 7.9 0.0000 0.3000 0.7000	0.2015 7.9 0.0000 0.3000 0.7000
649	6.62	0.2182 7.8 0.0000 0.3000 0.7000	0.2182 7.8 0.0000 0.3000 0.7000
699	7.07	0.2182 7.8 0.0000 0.3000 0.7000	0.2182 7.8 0.0000 0.3000 0.7000
749	7.55	0.2239 7.6 0.0000 0.3000 0.7000	0.2239 7.6 0.0000 0.3000 0.7000
799	7.99	0.2405 7.5 0.0000 0.3000 0.7000	0.2405 7.5 0.0000 0.3000 0.7000
849	8.43	0.2405 7.5 0.0000 0.3000 0.7000	0.2405 7.5 0.0000 0.3000 0.7000
899	8.87	0.2405 7.5 0.0000 0.3000 0.7000	0.2405 7.5 0.0000 0.3000 0.7000
949	9.34	0.2382 7.6 0.0000 0.3000 0.7000	0.2382 7.6 0.0000 0.3000 0.7000
999	9.82	0.2410 7.4 0.0000 0.3000 0.7000	0.2410 7.4 0.0000 0.3000 0.7000
best_performance: 999	9.82	0.2410 7.4 0.0000 0.3000 0.7000	0.2410 7.4 0.0000 0.3000 0.7000

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
49	1.65	0.1796 8.8 0.0000 0.2000 0.6000	0.1796 8.8 0.0000 0.2000 0.6000
99	2.04	0.1839 8.5 0.0000 0.2000 0.6000	0.1839 8.5 0.0000 0.2000 0.6000

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
49	1.66	0.1565 7.4 0.0000 0.1000 0.9000	0.1565 7.4 0.0000 0.1000 0.9000
99	2.09	0.1467 7.5 0.0000 0.0000 0.9000	0.1467 7.5 0.0000 0.0000 0.9000

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
49	1.64	0.1079 10.2 0.0000 0.0000 0.6000	0.1079 10.2 0.0000 0.0000 0.6000
99	2.03	0.1082 10.2 0.0000 0.0000 0.6000	0.1082 10.2 0.0000 0.0000 0.6000

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
