best_performance: 99	1.59	0.2930 7.0 0.1000 0.4000 0.8000	0.2930 7.0 0.1000 0.4000 0.8000
best_performance: 99	0.58	0.2735 7.3 0.1000 0.3000 0.8000	0.2735 7.3 0.1000 0.3000 0.8000
best_performance: 49	7.61	0.3287 7.8 0.2000 0.3000 0.6000	0.3287 7.8 0.2000 0.3000 0.6000
best_performance: 99	0.47	0.3149 5.2 0.1000 0.4000 0.9000	0.3149 5.2 0.1000 0.4000 0.9000
best_performance: 99	0.39	0.4904 5.0 0.3000 0.6000 0.8000	0.4904 5.0 0.3000 0.6000 0.8000
best_performance: 49	0.21	0.1637 7.4 0.0000 0.1000 0.8000	0.1637 7.4 0.0000 0.1000 0.8000
best_performance: 49	0.21	0.4094 4.7 0.2000 0.6000 0.9000	0.4094 4.7 0.2000 0.6000 0.9000
best_performance: 99	1.78	0.3108 7.6 0.2000 0.3000 0.8000	0.3108 7.6 0.2000 0.3000 0.8000
