best_performance: 49	7.62	0.2616 7.1 0.1000 0.2000 0.7000	0.2616 7.1 0.1000 0.2000 0.7000
best_performance: 899	6.10	0.4583 4.8 0.3000 0.5000 0.8000	0.4583 4.8 0.3000 0.5000 0.8000
best_performance: 499	3.89	0.4111 5.8 0.3000 0.4000 0.8000	0.4111 5.8 0.3000 0.4000 0.8000
best_performance: 599	4.35	0.4830 6.3 0.4000 0.5000 0.7000	0.4830 6.3 0.4000 0.5000 0.7000
best_performance: 649	4.70	0.5319 3.3 0.3000 0.7000 1.0000	0.5319 3.3 0.3000 0.7000 1.0000
best_performance: 649	4.65	0.4986 4.3 0.3000 0.7000 0.9000	0.4986 4.3 0.3000 0.7000 0.9000
best_performance: 199	2.28	0.4267 6.2 0.3000 0.4000 0.8000	0.4267 6.2 0.3000 0.4000 0.8000
best_performance: 99	1.94	0.3119 7.1 0.2000 0.2000 0.6000	0.3119 7.1 0.2000 0.2000 0.6000
best_performance: 99	1.70	0.1667 8.0 0.0000 0.1000 0.7000	0.1667 8.0 0.0000 0.1000 0.7000
best_performance: 49	0.50	0.2925 4.6 0.0000 0.4000 1.0000	0.2925 4.6 0.0000 0.4000 1.0000
best_performance: 49	0.46	0.3810 5.0 0.2000 0.4000 0.9000	0.3810 5.0 0.2000 0.4000 0.9000
best_performance: 99	0.62	0.2129 7.0 0.0000 0.2000 0.8000	0.2129 7.0 0.0000 0.2000 0.8000
best_performance: 99	7.58	0.3371 7.1 0.2000 0.3000 0.6000	0.3371 7.1 0.2000 0.3000 0.6000
best_performance: 199	2.62	0.3835 5.5 0.2000 0.4000 0.8000	0.3835 5.5 0.2000 0.4000 0.8000
best_performance: 449	3.53	0.5569 4.0 0.4000 0.6000 0.9000	0.5569 4.0 0.4000 0.6000 0.9000
best_performance: 49	1.50	0.4508 3.8 0.2000 0.6000 1.0000	0.4508 3.8 0.2000 0.6000 1.0000
best_performance: 99	1.84	0.2407 6.9 0.0000 0.4000 0.7000	0.2407 6.9 0.0000 0.4000 0.7000
best_performance: 99	1.80	0.4162 4.2 0.2000 0.5000 1.0000	0.4162 4.2 0.2000 0.5000 1.0000
best_performance: 99	1.81	0.3650 6.9 0.2000 0.4000 0.6000	0.3650 6.9 0.2000 0.4000 0.6000
best_performance: 49	1.51	0.3636 5.5 0.2000 0.4000 0.9000	0.3636 5.5 0.2000 0.4000 0.9000
best_performance: 699	4.91	0.4408 5.9 0.3000 0.5000 0.7000	0.4408 5.9 0.3000 0.5000 0.7000
best_performance: 49	1.63	0.4246 4.7 0.3000 0.4000 1.0000	0.4246 4.7 0.3000 0.4000 1.0000
best_performance: 149	8.75	0.5172 4.0 0.4000 0.5000 1.0000	0.5172 4.0 0.4000 0.5000 1.0000
best_performance: 249	2.77	0.4394 4.1 0.2000 0.6000 1.0000	0.4394 4.1 0.2000 0.6000 1.0000
best_performance: 549	2.96	0.6006 4.0 0.5000 0.7000 0.9000	0.6006 4.0 0.5000 0.7000 0.9000
best_performance: 399	10.12	0.4736 4.4 0.3000 0.6000 0.9000	0.4736 4.4 0.3000 0.6000 0.9000
best_performance: 899	5.99	0.4254 5.9 0.3000 0.4000 0.8000	0.4254 5.9 0.3000 0.4000 0.8000
best_performance: 399	3.43	0.4608 4.9 0.3000 0.5000 0.8000	0.4608 4.9 0.3000 0.5000 0.8000
best_performance: 849	11.49	0.4995 5.4 0.4000 0.5000 0.8000	0.4995 5.4 0.4000 0.5000 0.8000
best_performance: 299	3.55	0.4539 5.8 0.3000 0.5000 0.8000	0.4539 5.8 0.3000 0.5000 0.8000
best_performance: 49	0.61	0.3971 6.6 0.3000 0.4000 0.8000	0.3971 6.6 0.3000 0.4000 0.8000
best_performance: 999	6.54	0.5014 4.9 0.4000 0.5000 0.9000	0.5014 4.9 0.4000 0.5000 0.9000
best_performance: 949	19.89	0.4482 5.5 0.3000 0.5000 0.9000	0.4482 5.5 0.3000 0.5000 0.9000
best_performance: 899	5.38	0.3744 6.0 0.1000 0.6000 0.7000	0.3744 6.0 0.1000 0.6000 0.7000
best_performance: 49	1.41	0.5438 3.9 0.4000 0.7000 0.9000	0.5438 3.9 0.4000 0.7000 0.9000
best_performance: 449	4.18	0.4500 4.3 0.2000 0.6000 0.8000	0.4500 4.3 0.2000 0.6000 0.8000
best_performance: 949	6.87	0.4917 3.5 0.3000 0.6000 1.0000	0.4917 3.5 0.3000 0.6000 1.0000
best_performance: 899	5.57	0.4160 5.4 0.2000 0.6000 0.8000	0.4160 5.4 0.2000 0.6000 0.8000
best_performance: 599	3.60	0.4254 4.4 0.2000 0.6000 0.9000	0.4254 4.4 0.2000 0.6000 0.9000
best_performance: 349	3.23	0.4036 6.3 0.3000 0.3000 0.8000	0.4036 6.3 0.3000 0.3000 0.8000
best_performance: 49	0.35	0.4908 3.4 0.3000 0.6000 1.0000	0.4908 3.4 0.3000 0.6000 1.0000
best_performance: 849	5.35	0.5694 3.4 0.4000 0.7000 0.9000	0.5694 3.4 0.4000 0.7000 0.9000
